LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,LAT_Y_PX,LONG_X_PX,RAD_PX
-27.961,74.141,171.5,7158,3620,371
-21.79,73.573,141.86,5578,3475,307
-4.299,72.626,114.28,1101,3232,247
-21.189,85.105,112.89,5424,6427,244
-2.852,67.719,99.97,730,1976,216
-23.088,75.322,96.9,5911,3922,210
-25.331,71.882,94.5,6485,3042,205
-24.532,80.923,93.41,6280,5356,202
-9.375,83.853,93.36,2400,6106,202
-10.011,89.682,93.06,2563,7599,201
-1.77,66.384,91.86,453,1634,199
-27.342,83.196,90.38,7000,5938,196
-23.035,82.903,89.62,5897,5863,194
-21.098,69.102,88.05,5401,2330,191
-24.612,82.699,87.22,6301,5811,189
-21.738,73.141,86.64,5565,3364,188
-14.404,87.9,83.93,3687,7142,182
-21.882,66.803,81.56,5602,1742,177
-23.959,79.379,79.75,6134,4961,173
-16.734,67.387,78.5,4284,1891,170
-6.393,64.723,78.1,1637,1209,169
-28.892,84.156,77.94,7396,6184,169
-14.117,75.634,77.43,3614,4002,168
-27.017,87.933,77.12,6916,7151,167
-13.481,83.855,76.16,3451,6107,165
-4.839,63.308,74.01,1239,847,160
-29.305,71.3,73.56,7502,2893,159
-21.056,60.782,73.4,5390,200,159
-5.951,75.157,72.36,1523,3880,157
-17.274,82.764,72.27,4422,5828,157
-6.264,88.979,72.27,1604,7419,157
-26.321,84.427,70.4,6738,6253,153
-21.117,67.497,70.35,5406,1919,152
-5.368,67.475,69.73,1374,1914,151
-13.204,83.508,69.42,3380,6018,150
-28.757,85.463,69.13,7362,6519,150
-12.824,86.691,68.34,3283,6833,148
-6.986,65.506,66.47,1788,1410,144
-19.984,71.081,66.15,5116,2837,143
-14.424,76.243,65.16,3693,4158,141
-23.042,74.251,64.39,5899,3648,140
-18.709,68.573,63.89,4790,2195,138
-16.544,64.758,63.41,4235,1218,137
-16.865,60.331,63.32,4317,85,137
-21.318,76.47,62.54,5457,4216,136
-4.889,73.204,62.2,1252,3380,135
-4.389,80.475,61.87,1124,5242,134
-2.666,62.283,61.84,682,584,134
-22.982,60.701,60.61,5883,179,131
-5.85,78.82,60.08,1498,4818,130
-6.705,60.583,59.93,1716,149,130
-13.097,66.749,59.24,3353,1728,128
-0.917,76.646,58.84,235,4261,128
-24.088,64.993,58.41,6167,1278,127
-11.074,71.383,58.35,2835,2914,126
-27.436,66.19,57.76,7024,1585,125
-7.677,61.421,56.86,1965,364,123
-4.992,63.879,56.09,1278,993,122
-23.486,87.082,55.63,6012,6933,121
