LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,LAT_Y_PX,LONG_X_PX,RAD_PX
-9.845,-91.771,124.16,2520,7227,269
-25.674,-109.627,56.47,6573,2655,122
-24.551,-106.827,47.93,6285,3372,104
-29.319,-112.199,45.88,7506,1997,100
-29.067,-100.045,41.23,7441,5108,90
-29.457,-98.48,39.88,7541,5509,87
-27.314,-115.238,38.42,6992,1219,83
-27.683,-109.199,37.53,7087,2765,82
-29.689,-107.611,37.27,7600,3172,81
-24.869,-119.985,35.73,6366,4,78
-29.029,-109.495,35.34,7431,2689,77
-0.303,-102.207,33.29,78,4555,72
-24.429,-115.128,32.06,6254,1247,70
-26.741,-107.459,30.45,6846,3210,66
-28.197,-101.087,29.4,7218,4842,64
-21.428,-109.21,28.27,5486,2762,62
-25.279,-104.783,27.71,6471,3896,60
-2.041,-104.985,27.36,522,3844,60
-24.558,-114.374,27.29,6287,1440,59
-28.182,-99.105,26.65,7215,5349,58
-26.636,-99.284,26.6,6819,5303,58
-24.848,-114.696,26.03,6361,1358,57
-28.956,-100.675,25.88,7413,4947,56
-29.97,-99.453,25.77,7672,5260,56
-10.697,-103.412,25.64,2738,4247,56
-14.694,-106.31,25.17,3762,3505,55
-28.89,-101.429,22.26,7396,4754,49
-29.456,-108.269,22.06,7541,3003,48
-28.476,-112.517,21.7,7290,1916,47
-28.556,-114.961,21.39,7310,1290,47
-15.739,-108.115,21.12,4029,3043,46
-28.648,-103.335,20.8,7334,4266,45
-27.78,-99.568,20.73,7112,5231,45
-1.854,-102.366,20.56,475,4514,45
-29.325,-99.728,20.45,7507,5190,45
-29.11,-102.584,20.14,7452,4458,44
-1.882,-102.558,19.88,482,4465,43
-8.715,-102.851,19.73,2231,4390,43
-29.11,-99.522,19.6,7452,5242,43
-29.421,-107.222,19.58,7532,3271,43
-28.459,-107.393,19.38,7286,3227,42
-0.418,-99.738,19.3,107,5187,42
-28.966,-103.741,19.17,7415,4162,42
-19.727,-117.635,19.02,5050,605,42
-29.985,-107.274,18.87,7676,3258,41
-7.355,-94.557,18.85,1883,6513,41
-19.453,-93.143,18.83,4980,6875,41
-19.358,-109.448,18.71,4956,2701,41
-26.603,-114.441,18.67,6810,1423,41
-27.968,-108.481,18.15,7160,2949,40
-29.764,-107.508,18.03,7620,3198,39
-2.539,-100.047,18.01,650,5108,39
-19.231,-98.142,17.92,4923,5596,39
-4.054,-102.143,17.9,1038,4571,39
-27.865,-110.991,17.79,7133,2306,39
-8.158,-97.294,17.74,2088,5813,39
-21.334,-118.384,17.62,5462,414,39
-29.953,-110.97,17.56,7668,2312,38
-26.915,-119.842,17.48,6890,40,38
-25.98,-94.049,17.43,6651,6643,38
-23.689,-108.338,17.15,6064,2985,38
-27.112,-104.187,16.95,6941,4048,37
-3.323,-106.809,16.76,851,3377,37
-24.687,-109.115,16.56,6320,2787,36
-5.168,-102.761,16.39,1323,4413,36
-24.075,-114.009,16.21,6163,1534,36
-26.809,-104.344,16.18,6863,4008,35
-11.604,-95.59,16.05,2971,6249,35
-8.781,-98.575,15.87,2248,5485,35
-27.418,-101.002,15.78,7019,4863,35
-3.451,-104.763,15.63,883,3901,34
-26.898,-114.469,15.63,6886,1416,34
-28.727,-99.157,15.52,7354,5336,34
-12.939,-101.295,15.46,3312,4788,34
-27.587,-100.856,15.31,7062,4901,34
-26.719,-106.801,14.96,6840,3379,33
-25.67,-102.038,14.89,6572,4598,33
-29.482,-103.655,14.75,7547,4184,32
-2.822,-100.202,14.62,722,5068,32
-25.689,-105.137,14.04,6576,3805,31
-27.006,-109.55,13.91,6914,2675,31
-22.723,-107.977,13.8,5817,3078,30
-6.824,-94.473,13.58,1747,6535,30
-4.211,-106.089,13.51,1078,3561,30
-15.31,-96.144,13.12,3919,6107,29
-8.975,-93.312,12.94,2298,6832,28
-6.769,-102.431,12.76,1733,4498,28
-16.477,-108.164,12.54,4218,3030,28
-24.68,-107.498,12.41,6318,3201,27
-28.76,-105.882,12.06,7363,3614,27
-18.579,-95.74,11.9,4756,6211,26
-1.844,-90.483,11.9,472,7556,26
-28.894,-91.58,11.81,7397,7276,26
-5.257,-106.325,11.71,1346,3501,26
-23.267,-101.67,11.64,5956,4692,26
-28.584,-109.686,11.53,7318,2640,25
-18.291,-96.173,11.52,4682,6100,25
-27.285,-100.506,11.52,6985,4990,25
-17.373,-113.858,11.43,4447,1572,25
-28.792,-104.252,11.43,7371,4031,25
-29.72,-95.857,11.27,7608,6181,25
-17.522,-97.27,11.24,4486,5819,25
-7.898,-102.034,11.21,2022,4599,25
-26.778,-105.842,11.01,6855,3624,24
-28.144,-100.497,10.98,7205,4993,24
-29.029,-100.185,10.87,7431,5073,24
-11.866,-95.661,10.66,3038,6231,24
-24.931,-109.116,10.46,6382,2786,23
-5.204,-97.178,10.41,1332,5842,23
-27.525,-103.466,10.36,7046,4233,23
-29.825,-107.051,10.31,7635,3315,23
