LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,LAT_Y_PX,LONG_X_PX,RAD_PX
0.0,-11.545,1.12,0,4724,3
-18.24,-26.912,1096.65,4669,791,2369
-21.609,-3.827,358.72,5532,6700,775
-4.338,-26.92,261.31,1111,788,565
-11.465,-3.962,178.9,2935,6666,387
-8.955,-6.913,150.68,2292,5910,326
-2.868,-6.925,145.21,734,5907,314
-15.278,-3.698,120.9,3911,6733,262
-23.771,-20.573,116.3,6085,2413,252
-16.708,-5.081,108.05,4277,6379,234
-7.648,-8.913,101.67,1958,5398,220
-16.386,-24.814,91.53,4195,1328,198
-18.878,-19.797,90.11,4833,2612,195
-24.63,-22.916,87.18,6305,1814,189
-6.414,-22.109,87.13,1642,2020,189
-14.472,-8.169,85.5,3705,5589,185
-14.512,-7.224,84.85,3715,5831,184
-24.291,-26.771,84.38,6218,827,183
-10.801,-7.408,82.28,2765,5784,178
-27.569,-23.168,81.69,7058,1749,177
-17.962,-5.521,79.38,4598,6267,172
-0.128,-22.707,77.84,33,1867,169
-6.673,-17.592,77.79,1708,3176,168
-21.254,-9.07,75.75,5441,5358,164
-14.271,-11.142,75.56,3653,4828,164
-10.519,-28.238,75.44,2693,451,163
-26.546,-28.108,72.98,6796,484,158
-23.474,-13.345,72.78,6009,4264,158
-26.322,-6.125,71.99,6738,6112,156
-12.084,-8.117,71.7,3094,5602,155
-19.911,-2.938,70.57,5097,6928,153
-6.514,-21.413,69.75,1668,2198,151
-16.506,-1.809,69.73,4226,7217,151
-5.15,-4.659,69.49,1318,6487,151
-21.247,-4.098,68.94,5439,6631,149
-7.724,-3.798,68.66,1977,6708,149
-18.368,-12.018,68.41,4702,4603,148
-28.7,-4.451,66.33,7347,6541,144
-24.538,-19.906,65.9,6282,2584,143
-27.085,-18.301,65.8,6934,2995,143
-8.861,-18.951,65.25,2268,2829,141
-24.928,-10.702,65.02,6382,4940,141
-11.629,-10.719,64.97,2977,4936,141
-26.925,-11.053,64.17,6893,4850,139
-2.022,-11.615,63.95,518,4707,139
-23.195,-23.579,63.92,5938,1644,139
-5.989,-20.974,63.1,1533,2311,137
-2.246,-27.162,62.56,575,727,136
-13.604,-7.106,61.84,3483,5861,134
-0.83,-16.23,61.81,212,3525,134
-12.279,-20.293,61.61,3143,2485,134
-10.43,-29.227,61.27,2670,198,133
-11.09,-27.536,60.76,2839,631,132
-4.334,-26.762,59.77,1110,829,130
-14.009,-16.39,59.74,3586,3484,130
-28.289,-3.239,58.69,7242,6851,127
-19.828,-28.319,58.49,5076,430,127
-29.427,-17.691,58.05,7533,3151,126
-24.155,-15.776,57.41,6184,3641,124
-19.212,-22.778,57.32,4918,1849,124
-25.724,-15.884,57.3,6585,3614,124
-1.486,-11.125,55.88,380,4832,121
-3.564,-12.455,55.48,912,4492,120
-5.615,-26.845,55.36,1437,808,120
-18.691,-9.131,54.11,4785,5342,117
-8.578,-0.52,54.02,2196,7547,117
-18.348,-25.569,53.66,4697,1134,116
-12.15,-12.322,53.61,3110,4526,116
-23.893,-11.328,53.43,6117,4780,116
-8.688,-9.013,53.25,2224,5373,115
-14.295,-26.326,52.84,3660,941,115
-24.429,-17.567,52.44,6254,3183,114
-13.378,-20.04,52.29,3425,2550,113
-27.339,-0.869,52.05,6999,7458,113
-19.972,-10.369,51.61,5113,5026,112
-16.792,-27.811,50.94,4299,560,110
-16.807,-25.714,50.74,4303,1097,110
-23.685,-27.352,50.74,6063,678,110
-2.361,-8.381,50.4,604,5534,109
-24.589,-15.012,50.36,6295,3837,109
-5.56,-16.505,50.35,1423,3455,109
-3.579,-29.99,50.01,916,3,108
-18.773,-14.46,49.52,4806,3978,107
-18.314,-24.142,49.07,4688,1500,106
-18.372,-5.802,48.96,4703,6195,106
-7.136,-15.475,48.55,1827,3718,105
-12.396,-12.824,48.42,3173,4397,105
-4.625,-13.841,48.4,1184,4137,105
-0.788,-12.036,48.35,202,4599,105
-16.95,-22.654,48.31,4339,1881,105
-6.768,-26.704,47.56,1733,844,103
-26.359,-13.444,47.37,6748,4238,103
-25.63,-0.409,46.51,6561,7575,101
-15.573,-13.727,46.49,3987,4166,101
-17.772,-12.941,45.62,4550,4367,99
-14.597,-12.784,45.61,3737,4407,99
-3.485,-22.542,45.61,892,1909,99
-1.165,-15.236,45.26,298,3780,98
-13.418,-25.397,44.95,3435,1178,98
-12.386,-3.421,44.37,3171,6804,96
-18.521,-29.304,44.32,4741,178,96
-28.863,-6.582,44.16,7389,5995,96
-3.006,-15.284,43.54,770,3767,95
-27.783,-13.827,43.47,7112,4140,94
-12.956,-28.878,43.2,3317,287,94
-11.503,-5.428,43.02,2945,6290,93
-27.819,-27.304,42.93,7122,690,93
-4.404,-6.643,42.22,1127,5979,92
-18.967,-8.116,42.14,4856,5602,91
-18.288,-26.279,41.98,4682,953,91
-12.816,-1.439,41.51,3281,7312,90
-15.505,-20.514,41.49,3969,2428,90
-20.767,-24.732,41.43,5316,1349,90
-5.376,-9.67,41.41,1376,5204,90
-6.677,-6.417,41.04,1709,6037,89
-25.408,-24.294,40.77,6504,1461,89
-15.006,-22.827,40.46,3842,1836,88
-3.439,-11.466,40.26,880,4745,87
-24.654,-14.851,40.08,6311,3878,87
-28.451,-15.403,40.0,7283,3737,87
-16.002,-26.332,39.87,4097,939,87
-5.938,-9.655,39.68,1520,5208,86
-27.227,-3.059,39.33,6970,6897,85
-3.248,-23.91,39.32,831,1559,85
-4.864,-22.247,39.23,1245,1985,85
-17.422,-3.185,39.23,4460,6865,85
-11.799,-10.207,39.17,3021,5067,85
-15.683,-3.529,38.87,4015,6777,84
-16.512,-9.5,38.43,4227,5248,83
-19.617,-13.319,38.33,5022,4270,83
-6.176,-7.64,38.27,1581,5724,83
-6.227,-12.89,38.26,1594,4380,83
-6.213,-18.027,37.12,1591,3065,81
-4.669,-2.604,37.08,1195,7013,81
-3.066,-2.942,36.9,785,6927,80
-28.027,-19.493,36.87,7175,2690,80
-22.346,-20.554,36.67,5721,2418,80
-23.253,-17.959,36.57,5953,3082,79
-2.762,-24.173,36.47,707,1492,79
-18.681,-17.607,36.45,4782,3173,79
-8.44,-29.604,36.32,2161,101,79
-13.336,-9.455,36.25,3414,5260,79
-21.772,-8.646,36.18,5574,5467,79
-19.172,-4.176,35.67,4908,6611,78
-15.744,-25.101,35.57,4030,1254,77
-25.909,-0.063,35.49,6633,7664,77
-11.101,-2.208,35.37,2842,7115,77
-29.68,-11.155,35.29,7598,4824,77
-11.628,-11.286,35.12,2977,4791,76
-4.003,-21.337,34.9,1025,2218,76
-24.163,-6.241,34.83,6186,6082,76
-12.699,-13.338,34.79,3251,4265,76
-6.915,-2.732,34.73,1770,6981,75
-29.496,-9.896,34.72,7551,5147,75
-19.209,-3.414,34.35,4918,6806,75
-20.528,-17.251,33.35,5255,3264,73
-23.235,-28.21,33.35,5948,458,73
-27.968,-18.641,33.25,7160,2908,72
-12.617,-4.953,33.21,3230,6412,72
-9.449,-3.966,33.17,2419,6665,72
-27.468,-12.151,33.13,7032,4569,72
-17.616,-0.752,32.96,4510,7487,72
-26.765,-8.926,32.9,6852,5395,72
-18.72,-2.468,32.69,4792,7048,71
-12.053,-10.358,32.67,3086,5028,71
-6.354,-13.025,32.37,1627,4346,70
-26.622,-8.438,32.3,6815,5520,70
-13.599,-2.006,32.27,3481,7166,70
-4.241,-1.717,32.11,1086,7240,70
-23.59,-11.615,31.99,6039,4707,70
-12.584,-9.616,31.97,3222,5218,70
-13.715,-18.411,31.84,3511,2967,69
-6.741,-17.374,31.63,1726,3232,69
-10.336,-16.676,31.52,2646,3411,69
-8.234,-21.453,31.52,2108,2188,69
-13.976,-16.587,31.38,3578,3434,68
-26.916,-0.798,31.24,6890,7476,68
-16.102,-10.926,31.19,4122,4883,68
-4.218,-19.709,31.15,1080,2634,68
-9.302,-10.34,31.13,2381,5033,68
-3.791,-0.954,31.12,970,7436,68
-1.701,-26.894,31.02,435,795,67
-6.469,-16.468,30.78,1656,3464,67
-28.799,-1.2,30.71,7373,7373,67
-14.995,-19.149,30.69,3839,2778,67
-27.888,-7.689,30.66,7139,5712,67
-23.154,-26.71,30.65,5927,842,67
-14.626,-24.526,30.61,3744,1401,67
-29.062,-12.735,30.37,7440,4420,66
-27.539,-24.315,30.33,7050,1455,66
-28.703,-13.0,30.28,7348,4352,66
-6.262,-11.132,30.27,1603,4830,66
-19.888,-26.329,30.12,5091,940,66
-1.272,-2.706,30.1,326,6987,65
-8.874,-25.499,30.06,2272,1152,65
-0.454,-27.354,29.97,116,677,65
-1.498,-7.764,29.97,383,5692,65
-3.064,-8.483,29.95,784,5508,65
-15.287,-7.441,29.92,3913,5775,65
-16.09,-11.601,29.75,4119,4710,65
-2.047,-29.536,29.71,524,119,65
-24.56,-2.012,29.7,6287,7165,65
-13.861,-5.581,29.54,3548,6251,64
-14.977,-26.545,29.49,3834,884,64
-16.285,-20.895,29.35,4169,2331,64
-21.261,-23.987,29.34,5443,1539,64
-8.604,-16.033,29.34,2203,3576,64
-20.479,-1.266,29.31,5243,7356,64
-14.902,-15.901,29.3,3815,3609,64
-12.622,-2.376,29.16,3231,7072,63
-2.53,-7.423,29.13,648,5780,63
-14.98,-13.723,29.13,3835,4167,63
-13.915,-5.33,29.05,3562,6316,63
-11.23,-4.303,28.83,2875,6578,63
-28.755,-5.29,28.82,7361,6326,63
-10.294,-19.373,28.81,2635,2721,63
-5.491,-23.754,28.79,1406,1599,63
-23.578,-7.454,28.57,6036,5772,62
-29.696,-25.038,28.55,7602,1270,62
-1.473,-0.047,28.39,377,7668,62
-13.587,-15.921,28.29,3478,3604,62
-24.069,-4.569,28.29,6162,6510,62
-27.88,-9.203,28.21,7137,5324,61
-19.274,-20.791,28.19,4934,2358,61
-25.599,-6.397,28.17,6553,6042,61
-16.008,-18.279,28.15,4098,3001,61
-3.589,-13.545,28.02,919,4212,61
-6.878,-24.546,27.99,1761,1396,61
-1.437,-26.202,27.97,368,972,61
-6.791,-29.35,27.94,1738,166,61
-7.097,-20.586,27.57,1817,2410,60
-2.122,-7.69,27.55,543,5711,60
-27.953,-17.538,27.55,7156,3190,60
-26.857,-9.507,27.52,6875,5246,60
-23.463,-12.237,27.48,6007,4547,60
-0.713,-6.6,27.35,183,5990,60
-21.224,-6.72,27.35,5433,5960,60
-6.557,-20.369,27.28,1679,2466,59
-15.458,-16.345,27.25,3957,3496,59
-27.571,-6.366,27.18,7058,6050,59
-9.33,-13.105,27.08,2388,4325,59
-7.051,-21.854,27.02,1805,2085,59
-3.696,-21.97,26.92,946,2056,59
-12.989,-0.068,26.89,3325,7663,59
-0.226,-5.729,26.84,58,6213,58
-18.529,-14.887,26.8,4743,3869,58
-1.048,-1.405,26.77,268,7320,58
-14.155,-27.343,26.7,3624,680,58
-24.277,-28.496,26.6,6215,385,58
-25.318,-19.63,26.59,6481,2655,58
-9.579,-1.661,26.56,2452,7255,58
-25.231,-17.072,26.43,6459,3310,58
-14.149,-0.822,26.39,3622,7470,57
-24.854,-15.836,26.23,6363,3626,57
-11.698,-19.512,26.23,2995,2685,57
-28.13,-9.522,26.22,7201,5242,57
-11.935,-4.871,26.2,3055,6433,57
-26.232,-1.64,25.95,6715,7260,57
-12.909,-7.839,25.85,3305,5673,56
-6.297,-1.023,25.83,1612,7418,56
-28.039,-5.593,25.83,7178,6248,56
-5.509,-5.33,25.81,1410,6316,56
-10.642,-18.317,25.8,2724,2991,56
-29.169,-9.414,25.75,7467,5270,56
-17.909,-4.399,25.72,4585,6554,56
-11.653,-24.252,25.71,2983,1471,56
-5.891,-17.874,25.66,1508,3104,56
-29.185,-23.212,25.6,7471,1738,56
-10.693,-28.875,25.53,2737,288,56
-2.863,-9.351,25.45,733,5286,55
-10.99,-24.895,25.43,2813,1307,55
-20.363,-4.7,25.3,5213,6477,55
-26.887,-10.26,25.29,6883,5053,55
-26.933,-26.853,25.29,6895,806,55
-2.514,-23.733,25.29,644,1604,55
-2.539,-22.55,25.25,650,1907,55
-12.578,-18.589,24.96,3220,2921,54
-7.824,-25.818,24.92,2003,1071,54
-11.648,-9.813,24.92,2982,5168,54
-25.878,-23.488,24.86,6625,1667,54
-3.65,-11.803,24.82,934,4658,54
-21.846,-4.742,24.78,5593,6466,54
-16.176,-2.531,24.63,4141,7032,54
-16.017,-8.303,24.6,4100,5554,54
-23.663,-28.104,24.53,6058,485,53
-6.419,-18.873,24.48,1643,2849,53
-19.947,-8.305,24.48,5106,5554,53
-13.624,-16.388,24.41,3488,3485,53
-7.806,-25.414,24.35,1998,1174,53
-6.282,-19.251,24.31,1608,2752,53
-1.552,-2.359,24.31,397,7076,53
-28.974,-21.733,24.15,7417,2116,53
-1.69,-7.61,23.96,433,5732,52
-8.476,-2.39,23.96,2170,7068,52
-14.99,-1.574,23.87,3837,7277,52
-29.56,-0.272,23.79,7567,7610,52
-9.125,-4.172,23.76,2336,6612,52
-13.2,-21.036,23.72,3379,2295,52
-6.271,-10.503,23.41,1605,4991,51
-8.006,-15.532,23.27,2050,3704,51
-11.278,-17.788,23.11,2887,3126,50
-11.26,-29.659,23.05,2883,87,50
-15.949,-7.908,23.05,4083,5656,50
-28.428,-14.103,23.03,7278,4070,50
-26.992,-20.632,22.99,6910,2398,50
-9.546,-11.172,22.98,2444,4820,50
-19.349,-6.324,22.96,4953,6061,50
-27.254,-10.351,22.9,6977,5030,50
-29.245,-4.502,22.82,7487,6527,50
-1.41,-0.744,22.66,361,7490,49
-23.63,-22.422,22.64,6049,1940,49
-23.06,-9.066,22.6,5903,5359,49
-19.479,-9.018,22.42,4987,5371,49
-11.861,-6.707,22.37,3036,5963,49
-21.886,-22.426,22.14,5603,1939,48
-16.677,-7.798,22.07,4269,5684,48
-24.959,-1.14,22.03,6390,7388,48
-20.619,-26.574,22.02,5278,877,48
-27.275,-5.367,21.96,6982,6306,48
-11.876,-19.19,21.96,3040,2767,48
-13.594,-8.86,21.91,3480,5412,48
-2.286,-5.171,21.85,585,6356,48
-4.995,-11.524,21.84,1279,4730,48
-6.91,-9.381,21.72,1769,5278,47
-16.714,-28.158,21.53,4279,472,47
-23.266,-19.308,21.52,5956,2737,47
-18.326,-21.844,21.5,4691,2088,47
-4.008,-5.096,21.45,1026,6375,47
-19.999,-11.775,21.34,5120,4666,47
-11.002,-1.579,21.34,2817,7276,47
-24.17,-28.808,21.31,6188,305,47
-6.101,-2.177,21.3,1562,7123,46
-6.694,-11.717,21.28,1714,4680,46
-17.687,-22.612,21.25,4528,1891,46
-16.804,-17.46,21.2,4302,3210,46
-14.229,-6.47,21.16,3643,6024,46
-27.57,-24.763,21.15,7058,1341,46
-27.225,-8.019,21.14,6970,5627,46
-18.381,-7.119,21.11,4706,5858,46
-4.576,-7.447,21.11,1171,5774,46
-11.348,-15.965,21.1,2905,3593,46
-9.952,-10.234,21.02,2548,5060,46
-13.954,-9.205,21.0,3572,5324,46
-27.48,-6.226,20.97,7035,6086,46
-1.169,-7.01,20.9,299,5885,46
-10.161,-15.278,20.83,2601,3769,45
-10.044,-23.828,20.72,2571,1580,45
-11.411,-26.015,20.71,2921,1020,45
-17.686,-2.905,20.69,4528,6936,45
-25.031,-16.49,20.67,6408,3459,45
