LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,LAT_Y_PX,LONG_X_PX,RAD_PX
1.833,125.426,165.98,7211,1389,359
8.674,130.244,109.07,5459,2622,236
2.793,121.845,101.32,6965,472,219
5.109,121.079,82.6,6372,276,179
0.252,128.417,75.03,7615,2155,163
15.793,123.857,74.13,3637,987,161
4.348,126.566,67.98,6567,1681,147
9.677,121.528,61.06,5203,391,132
8.84,122.904,57.68,5417,743,125
8.217,125.776,51.56,5576,1479,112
5.346,131.796,50.48,6311,3020,110
16.466,123.175,50.45,3465,813,109
5.598,131.234,45.09,6247,2876,98
1.23,133.942,43.28,7365,3569,94
9.48,122.412,41.87,5253,617,91
9.228,125.086,39.0,5318,1302,85
8.27,122.408,38.47,5563,616,84
2.442,129.329,37.88,7055,2388,82
12.481,123.561,33.31,4485,912,72
6.797,129.178,32.71,5940,2350,71
10.321,131.036,30.74,5038,2825,67
3.232,120.681,30.66,6853,174,67
3.808,131.972,28.2,6705,3065,61
10.665,134.442,28.17,4950,3697,61
7.547,122.273,27.59,5748,582,60
17.061,122.104,26.28,3312,539,57
5.721,127.963,25.57,6215,2039,56
0.328,123.478,25.24,7596,890,55
6.811,123.092,24.66,5936,792,54
5.357,125.109,24.56,6309,1308,54
1.958,126.338,24.38,7179,1623,53
4.057,122.966,23.81,6641,759,52
4.949,120.351,23.66,6413,90,52
2.744,133.786,23.38,6978,3529,51
4.392,125.362,23.22,6556,1373,51
4.797,125.105,22.52,6452,1307,49
5.428,120.15,22.26,6290,38,49
2.506,120.011,21.31,7038,3,47
6.15,129.811,21.23,6106,2512,46
13.838,123.878,20.31,4137,993,44
15.896,126.2,19.88,3611,1587,43
0.857,121.622,19.7,7461,415,43
5.648,120.151,19.62,6234,39,43
4.961,124.743,19.53,6410,1214,43
3.425,125.824,19.36,6803,1491,42
19.401,127.703,18.59,2713,1972,41
22.267,124.243,18.26,1980,1086,40
7.361,131.913,17.78,5796,3050,39
5.339,122.721,17.35,6313,697,38
