LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,LAT_Y_PX,LONG_X_PX,RAD_PX
30.0,-43.625,14.59,0,4192,32
0.595,-55.207,198.81,7528,1227,430
3.188,-52.021,164.14,6864,2043,355
10.129,-53.708,146.02,5087,1611,316
26.99,-58.501,99.92,771,384,216
1.566,-59.64,91.91,7279,92,199
13.032,-45.959,88.13,4344,3594,191
2.521,-51.685,76.9,7035,2129,167
3.747,-59.491,76.44,6721,130,166
15.13,-47.211,75.82,3807,3274,164
8.224,-49.345,71.61,5575,2728,155
2.273,-51.61,66.25,7098,2148,144
11.588,-57.938,65.46,4713,528,142
2.557,-58.473,63.22,7025,391,137
13.081,-49.464,63.14,4331,2697,137
12.556,-54.873,59.08,4466,1313,128
10.08,-52.224,58.64,5100,1991,127
15.043,-59.491,58.41,3829,130,127
12.41,-47.153,57.81,4503,3289,125
14.536,-57.045,57.03,3959,756,124
22.055,-58.742,56.13,2034,322,122
12.215,-53.62,55.94,4553,1633,121
13.775,-58.57,54.93,4154,366,119
14.207,-57.214,52.69,4043,713,114
28.241,-56.491,51.6,450,898,112
5.064,-56.095,50.63,6384,1000,110
15.248,-54.25,50.42,3777,1472,109
24.592,-55.775,49.21,1384,1082,107
1.202,-48.385,48.94,7372,2973,106
3.883,-51.045,47.57,6686,2292,103
11.895,-46.693,46.62,4635,3407,101
18.004,-52.387,45.92,3071,1949,100
10.481,-47.864,45.2,4997,3107,98
16.701,-59.875,44.85,3405,32,97
6.96,-53.541,44.61,5898,1654,97
12.646,-48.383,44.5,4443,2974,97
8.745,-50.377,43.44,5441,2463,94
7.278,-48.649,43.06,5817,2906,93
1.5,-48.674,42.53,7296,2899,92
11.973,-52.721,42.4,4615,1863,92
0.174,-58.594,41.96,7635,360,91
11.099,-52.908,41.67,4839,1816,90
20.448,-56.617,41.6,2445,866,90
6.872,-46.399,41.27,5921,3482,90
17.181,-52.553,41.14,3282,1906,89
8.792,-54.659,38.49,5429,1367,84
5.34,-58.573,37.47,6313,365,81
14.841,-51.588,37.46,3881,2153,81
4.904,-47.432,37.45,6425,3217,81
14.814,-51.862,37.22,3888,2083,81
8.89,-52.385,37.17,5404,1949,81
6.944,-59.082,36.96,5902,235,80
11.821,-50.324,36.77,4654,2477,80
8.333,-54.94,36.08,5547,1295,78
3.259,-47.501,35.55,6846,3200,77
20.092,-55.756,34.92,2536,1086,76
19.305,-58.642,34.71,2738,348,75
6.523,-59.372,34.41,6010,161,75
8.395,-56.926,34.38,5531,787,75
3.587,-47.259,34.02,6762,3262,74
3.388,-51.145,33.6,6813,2267,73
