LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,LAT_Y_PX,LONG_X_PX,RAD_PX
2.772,-21.221,275.96,6970,2247,596
21.892,-7.943,165.23,2076,5647,357
16.099,-12.95,148.78,3559,4365,322
5.721,-26.909,137.17,6215,791,297
28.776,-4.717,111.11,313,6472,240
16.378,-15.143,110.23,3487,3803,239
5.078,-10.137,110.08,6380,5085,238
16.954,-4.706,109.96,3340,6475,238
19.023,-10.572,107.08,2810,4974,232
23.566,-20.112,100.78,1647,2531,218
12.931,-3.389,96.69,4370,6812,209
2.5,-15.955,95.48,7040,3596,207
10.824,-13.973,94.97,4909,4103,206
29.531,-24.571,94.62,120,1390,205
13.416,-19.952,94.21,4246,2572,204
21.897,-22.367,90.92,2074,1954,197
19.915,-8.706,89.51,2582,5451,194
12.937,-7.097,89.22,4368,5863,193
14.694,-13.35,87.88,3918,4262,190
2.674,-9.331,87.34,6995,5291,189
13.662,-9.792,86.94,4183,5173,188
28.682,-12.3,86.72,337,4531,188
25.303,-21.882,79.79,1202,2078,173
24.34,-10.657,78.63,1449,4952,170
10.627,-11.29,76.26,4959,4790,165
23.863,-1.342,75.17,1571,7336,163
25.691,-8.525,72.02,1103,5498,156
8.46,-15.73,71.68,5514,3653,155
10.742,-1.39,71.19,4930,7324,154
18.69,-14.512,69.33,2895,3965,150
28.029,-0.948,68.68,505,7437,149
7.973,-29.007,68.45,5639,254,148
23.571,-4.051,66.81,1646,6643,145
13.656,-0.683,66.22,4184,7505,143
29.34,-5.474,65.73,169,6279,142
18.014,-16.974,65.08,3068,3335,141
19.317,-0.989,65.02,2735,7427,141
16.281,-16.416,65.01,3512,3478,141
7.976,-7.046,64.3,5638,5876,139
20.153,-11.336,63.86,2521,4778,138
18.82,-15.659,60.96,2862,3671,132
28.265,-15.407,60.86,444,3736,132
15.303,-22.124,60.54,3762,2016,131
9.737,-13.378,60.35,5187,4255,131
20.838,-6.547,59.78,2345,6004,130
20.765,-18.564,58.48,2364,2928,127
26.235,-7.801,58.34,964,5683,126
21.051,-17.445,57.81,2291,3214,125
23.213,-14.116,57.74,1737,4066,125
15.186,-26.734,57.27,3792,836,124
23.698,-24.937,57.03,1613,1296,124
23.208,-23.279,55.91,1739,1721,121
13.262,-23.93,55.66,4285,1554,121
5.903,-4.441,55.51,6169,6543,120
9.561,-4.464,55.24,5232,6537,120
13.941,-17.748,54.84,4111,3137,119
1.201,-25.688,54.68,7373,1104,119
24.148,-9.362,54.65,1498,5283,119
24.802,-25.294,54.31,1331,1205,118
12.263,-25.89,53.09,4541,1052,115
22.091,-8.227,52.35,2025,5574,114
17.061,-29.298,52.13,3312,180,113
22.637,-27.819,52.09,1885,558,113
18.236,-4.726,52.04,3012,6470,113
25.846,-25.972,52.0,1063,1031,113
6.509,-13.208,51.82,6014,4299,112
2.145,-7.825,51.8,7131,5677,112
14.977,-7.764,51.1,3846,5692,111
11.804,-26.07,51.02,4658,1006,111
0.532,-11.415,50.97,7544,4758,111
21.555,-28.152,50.69,2162,473,110
23.564,-28.73,50.57,1648,325,110
19.892,-6.564,50.21,2588,6000,109
24.417,-0.939,50.16,1429,7440,109
22.49,-20.996,50.0,1923,2305,108
1.06,-7.342,49.82,7409,5800,108
16.706,-0.706,49.77,3403,7499,108
3.895,-0.957,49.63,6683,7435,108
11.682,-12.09,49.54,4689,4585,107
26.209,-12.021,49.46,970,4603,107
3.809,-11.851,49.03,6705,4646,106
16.641,-2.696,48.81,3420,6990,106
19.04,-23.206,47.9,2806,1739,104
5.461,-3.494,47.6,6282,6786,103
5.437,-22.532,47.34,6288,1912,103
23.686,-14.282,47.07,1616,4024,102
19.281,-1.877,46.64,2744,7199,101
14.794,-18.918,46.32,3893,2837,101
28.367,-20.356,45.33,418,2469,98
4.818,-14.448,44.58,6447,3981,97
11.507,-21.294,44.43,4734,2229,96
0.29,-25.012,44.23,7606,1277,96
7.621,-19.684,43.97,5729,2641,95
14.69,-21.55,43.68,3919,2163,95
5.428,-15.544,43.32,6290,3701,94
12.453,-0.721,42.98,4492,7495,93
10.866,-7.14,42.98,4898,5852,93
6.966,-13.901,42.45,5897,4121,92
17.602,-21.375,42.4,3174,2208,92
9.347,-11.304,42.13,5287,4786,91
2.992,-2.721,42.12,6914,6983,91
15.985,-7.963,42.12,3588,5641,91
3.534,-14.181,41.99,6775,4050,91
10.774,-6.197,41.81,4922,6094,91
12.057,-8.31,41.8,4593,5553,91
20.535,-24.053,41.55,2423,1522,90
26.139,-3.335,41.24,988,6826,90
10.219,-16.636,40.97,5064,3421,89
13.697,-23.283,40.77,4174,1720,89
12.024,-21.015,40.74,4602,2300,88
9.506,-9.365,40.22,5246,5283,87
10.764,-4.31,40.02,4924,6577,87
1.023,-9.105,39.96,7418,5349,87
20.085,-23.682,39.16,2538,1617,85
28.637,-18.939,39.04,349,2832,85
25.838,-22.181,38.69,1065,2002,84
12.998,-14.147,38.67,4353,4058,84
23.738,-16.674,38.23,1603,3411,83
25.744,-16.972,38.12,1090,3335,83
1.513,-13.437,38.0,7293,4240,83
19.928,-24.278,37.93,2578,1465,82
10.159,-21.179,37.64,5079,2258,82
6.937,-28.038,37.63,5904,502,82
